code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2021-06-11,HOSE,52.6,29600800.0,1543460600000.0,2.5,4.99
TCB,2021-06-10,HOSE,50.1,10935100.0,552183620000.0,-0.7,-1.378
TCB,2021-06-09,HOSE,50.8,22397000.0,1123725110000.0,1.3,2.6263
TCB,2021-06-08,HOSE,49.5,25295000.0,1291639635000.0,-2.9,-5.5344
TCB,2021-06-07,HOSE,52.4,20392100.0,1074552080000.0,-2.2,-4.0293
TCB,2021-06-04,HOSE,54.6,13371600.0,731145240000.0,0.0,0.0
TCB,2021-06-03,HOSE,54.8,23735700.0,1281508750000.0,2.0,3.7879
TCB,2021-06-02,HOSE,52.8,24560900.0,1291183940000.0,-0.3,-0.565
TCB,2021-06-01,HOSE,53.1,12358200.0,664900330000.0,-0.6,-1.1173
TCB,2021-05-31,HOSE,53.7,17054600.0,903706620000.0,0.7,1.3208
TCB,2021-05-28,HOSE,53.0,20002700.0,1042070530000.0,1.6,3.1128
TCB,2021-05-27,HOSE,51.4,15941600.0,831479200000.0,-1.4,-2.6515
TCB,2021-05-26,HOSE,52.8,16505900.0,855228510000.0,1.2,2.3256
TCB,2021-05-25,HOSE,51.6,10560300.0,546971960000.0,0.7,1.3752
TCB,2021-05-24,HOSE,50.9,14666700.0,745454820000.0,0.1,0.1969
TCB,2021-05-21,HOSE,50.8,18850300.0,959496605000.0,0.6,1.1952
TCB,2021-05-20,HOSE,50.2,13171300.0,661896580000.0,0.1,0.1996
TCB,2021-05-19,HOSE,50.1,17467900.0,858840560000.0,1.75,3.6194
TCB,2021-05-18,HOSE,48.35,16910000.0,813645670000.0,0.5,1.0449
TCB,2021-05-17,HOSE,47.85,17123600.0,825613355000.0,-0.8,-1.6444
TCB,2021-05-14,HOSE,48.65,13905300.0,676125545000.0,0.65,1.3542
TCB,2021-05-13,HOSE,48.0,18045200.0,888407785000.0,-1.25,-2.5381
TCB,2021-05-12,HOSE,49.25,23553400.0,1126794495000.0,2.25,4.7872
TCB,2021-05-11,HOSE,47.0,16021800.0,764939555000.0,-1.1,-2.2869
TCB,2021-05-10,HOSE,48.1,19611400.0,931461650000.0,1.05,2.2317
TCB,2021-05-07,HOSE,47.05,22027500.0,1039774800000.0,-0.05,-0.1062
TCB,2021-05-06,HOSE,47.1,26766000.0,1235803890000.0,1.15,2.5027
TCB,2021-05-05,HOSE,45.95,28214800.0,1281765685000.0,2.55,5.8756
TCB,2021-05-04,HOSE,43.4,31749800.0,1349507230000.0,2.4,5.8537
TCB,2021-04-29,HOSE,41.0,17966700.0,736867200000.0,1.05,2.6283
TCB,2021-04-28,HOSE,39.95,6065200.0,242673755000.0,0.45,1.1392
TCB,2021-04-27,HOSE,39.5,7370000.0,293148335000.0,0.05,0.1267
TCB,2021-04-26,HOSE,39.45,12155400.0,484995405000.0,-1.05,-2.5926
TCB,2021-04-23,HOSE,40.5,10600700.0,422252170000.0,0.8,2.0151
TCB,2021-04-22,HOSE,39.7,8352800.0,338445870000.0,-1.45,-3.5237
TCB,2021-04-20,HOSE,41.15,11225000.0,465965700000.0,-0.45,-1.0817
TCB,2021-04-19,HOSE,41.6,11234400.0,457371625000.0,1.15,2.843
TCB,2021-04-16,HOSE,40.45,15488700.0,624151330000.0,-0.45,-1.1002
TCB,2021-04-15,HOSE,40.9,14745100.0,608576545000.0,-0.9,-2.1531
TCB,2021-04-14,HOSE,41.8,9753300.0,404572625000.0,0.2,0.4808
TCB,2021-04-13,HOSE,41.6,15104100.0,634782830000.0,-0.55,-1.3049
TCB,2021-04-12,HOSE,42.15,14990200.0,629061950000.0,0.55,1.3221
TCB,2021-04-09,HOSE,41.6,8022500.0,334623400000.0,-0.35,-0.8343
TCB,2021-04-08,HOSE,41.95,7518800.0,316010630000.0,-0.25,-0.5924
TCB,2021-04-07,HOSE,42.2,7728400.0,326652975000.0,0.0,0.0
TCB,2021-04-06,HOSE,42.2,14957000.0,626474180000.0,0.7,1.6867
TCB,2021-04-05,HOSE,41.5,11025600.0,457127805000.0,0.25,0.6061
TCB,2021-04-02,HOSE,41.25,8261300.0,343248195000.0,0.25,0.6098
TCB,2021-04-01,HOSE,41.0,11065800.0,450381140000.0,0.6,1.4851
TCB,2021-03-31,HOSE,40.4,10304100.0,416784590000.0,0.35,0.8739
TCB,2021-03-30,HOSE,40.05,10768300.0,429537985000.0,0.5,1.2642
TCB,2021-03-29,HOSE,39.55,8380600.0,330730295000.0,0.15,0.3807
TCB,2021-03-26,HOSE,39.4,10188400.0,397640970000.0,0.05,0.1271
TCB,2021-03-25,HOSE,39.35,10420800.0,411657625000.0,0.05,0.1272
TCB,2021-03-24,HOSE,39.3,13792100.0,549206535000.0,-1.15,-2.843
TCB,2021-03-23,HOSE,40.45,12997700.0,530333190000.0,-0.85,-2.0581
TCB,2021-03-22,HOSE,41.3,10554500.0,438237410000.0,-0.7,-1.6667
TCB,2021-03-19,HOSE,42.0,7413700.0,310199480000.0,0.05,0.1192
TCB,2021-03-18,HOSE,41.95,16410100.0,679177990000.0,1.65,4.0943
TCB,2021-03-17,HOSE,40.3,9542800.0,382995215000.0,0.45,1.1292
TCB,2021-03-16,HOSE,39.85,11577300.0,459936995000.0,-0.25,-0.6234
TCB,2021-03-15,HOSE,40.1,8638500.0,347438650000.0,0.05,0.1248
TCB,2021-03-12,HOSE,40.05,8046800.0,322692935000.0,-0.1,-0.2491
TCB,2021-03-11,HOSE,40.15,15369300.0,615736130000.0,0.85,2.1628
TCB,2021-03-10,HOSE,39.3,9050000.0,353483510000.0,0.35,0.8986
TCB,2021-03-09,HOSE,38.95,10594100.0,409321785000.0,0.1,0.2574
TCB,2021-03-08,HOSE,38.85,10807100.0,422097240000.0,-0.35,-0.8929
TCB,2021-03-05,HOSE,39.2,11169600.0,433237905000.0,0.15,0.3841
TCB,2021-03-04,HOSE,39.05,16228300.0,640619845000.0,-1.3,-3.2218
TCB,2021-03-03,HOSE,40.35,8441900.0,339709380000.0,0.05,0.1241
TCB,2021-03-02,HOSE,40.3,8576800.0,346234095000.0,0.1,0.2488
TCB,2021-03-01,HOSE,40.2,12622200.0,502472065000.0,0.95,2.4204
TCB,2021-02-26,HOSE,39.25,15265000.0,592567520000.0,0.15,0.3836
TCB,2021-02-25,HOSE,39.1,16440500.0,641906640000.0,0.0,0.0
TCB,2021-02-24,HOSE,39.1,14395400.0,566824095000.0,-0.7,-1.7588
TCB,2021-02-23,HOSE,39.8,26384200.0,1046728765000.0,1.2,3.1088
TCB,2021-02-22,HOSE,38.6,14466800.0,557980165000.0,-0.1,-0.2584
TCB,2021-02-19,HOSE,38.7,12801300.0,494487930000.0,-0.2,-0.5141
TCB,2021-02-18,HOSE,38.9,15791300.0,609705350000.0,0.5,1.3021
TCB,2021-02-17,HOSE,38.4,21134000.0,796879710000.0,2.4,6.6667
TCB,2021-02-09,HOSE,36.0,16738000.0,596428445000.0,1.0,2.8571
TCB,2021-02-08,HOSE,35.0,21272800.0,751768710000.0,-1.3,-3.5813
TCB,2021-02-05,HOSE,36.3,14358200.0,514332320000.0,1.3,3.7143
TCB,2021-02-04,HOSE,35.0,14141400.0,497530345000.0,0.0,0.0
TCB,2021-02-03,HOSE,35.0,18238700.0,632906350000.0,1.0,2.9412
TCB,2021-02-02,HOSE,34.0,13498900.0,447575630000.0,1.8,5.5901
TCB,2021-02-01,HOSE,32.2,15146700.0,492745680000.0,0.2,0.625
TCB,2021-01-29,HOSE,32.0,27420900.0,869723025000.0,0.8,2.5641
TCB,2021-01-28,HOSE,31.2,27121100.0,861177365000.0,-2.3,-6.8657
TCB,2021-01-27,HOSE,33.5,18775400.0,633781165000.0,-1.5,-4.2857
TCB,2021-01-26,HOSE,35.0,18111400.0,632573445000.0,-0.8,-2.2346
TCB,2021-01-25,HOSE,35.8,15639600.0,562632650000.0,-0.5,-1.3774
TCB,2021-01-22,HOSE,36.3,12347400.0,448580080000.0,0.1,0.2762
TCB,2021-01-21,HOSE,36.2,14253300.0,506374780000.0,1.7,4.9275
TCB,2021-01-20,HOSE,34.5,25772300.0,867539440000.0,0.6,1.7699
TCB,2021-01-19,HOSE,33.9,22796500.0,791646960000.0,-2.3,-6.3536
TCB,2021-01-18,HOSE,36.2,13377400.0,491331730000.0,-0.65,-1.7639
TCB,2021-01-15,HOSE,36.85,17357400.0,640321075000.0,1.1,3.0769
TCB,2021-01-14,HOSE,35.75,11995200.0,425017515000.0,0.6,1.707
TCB,2021-01-13,HOSE,35.15,11399600.0,405686875000.0,0.05,0.1425
TCB,2021-01-12,HOSE,35.1,16418200.0,572490600000.0,-0.15,-0.4255
TCB,2021-01-11,HOSE,35.25,13980300.0,499479850000.0,-0.45,-1.2605
